Creator,Channel,Contact URL,Audience fit,Sent date,Reply,Store URL used,Notes,Source URL
CHANI,Astrology app and education site,https://www.chani.com/about/press,High - covers birth charts and unknown birth time education,,,Default App Store + Google Play,Use marketing inquiry; lead with offline demo and estimate framing,https://www.chani.com/astro-education/how-can-i-work-with-my-astrology-chart-if-i-dont-know-my-birth-time
The Astrology Podcast / Chris Brennan,Podcast and YouTube,https://theastrologypodcast.com/contact/,High - has a dedicated rectification episode and technical astrology audience,,,Default App Store + Google Play,Pitch as a practical tool for unknown birth time listeners,https://theastrologypodcast.com/2018/08/27/rectification-using-astrology-to-find-your-birth-time/
The AstroTwins / Astrostyle,Astrology media site and newsletter,https://astrostyle.com/contact/,High - rising sign calculator and mainstream astrology audience,,,Default App Store + Google Play,Pitch around unknown birth time and rising sign uncertainty,https://astrostyle.com/cosmic-calculators/rising-sign/
Astrology Hub,Podcast and education platform,https://astrologyhub.com/contact/,High - podcast and courses reach astrology learners,,,Default App Store + Google Play,Pitch as a tool demo for students learning birth charts,https://astrologyhub.com/the-astrology-hub-podcast/
Cafe Astrology,Astrology calculators and reports site,https://cafeastrology.com/contact.html,High - users search ascendant and birth chart help,,,Default App Store + Google Play,Use general feedback only; avoid asking for endorsement,https://cafeastrology.com/whats-my-ascendant-sign.html
AstroLibrary,Astrology calculators and education site,https://astrolibrary.org/rising-calculate/,Medium - strong rising sign calculator intent but contact path needs manual check,,,Default App Store + Google Play,Find contact form before sending; good fit for resource mention,https://astrolibrary.org/rising-calculate/
AstroGraph / TimePassages,Astrology software and app,https://www.astrograph.com/company/about.php,Medium - astrology app/software audience with birth chart tools,,,Default App Store + Google Play,Potential partnership or resource exchange; avoid competitor framing,https://www.astrograph.com/birth-chart
Michele Knight,Astrology readings and content site,https://micheleknight.com/free-readings/free-astrology-birth-chart/,Medium - free birth chart tool supports time unknown,,,Default App Store + Google Play,Use support/contact path from site; position as unknown-time helper,https://micheleknight.com/free-readings/free-astrology-birth-chart/
Astro Butterfly,Astrology blog and newsletter,https://astrobutterfly.com/subscribe/,Medium - large newsletter and natal chart education audience,,,Default App Store + Google Play,Find direct contact before sending; pitch as content idea,https://astrobutterfly.com/home/
Nightlight Astrology,Astrology school and YouTube,https://nightlightastrology.com/contact/,High - birth chart education and readings audience,,,Default App Store + Google Play,Pitch as an educational tool for people without exact birth time,https://nightlightastrology.com/product/birth-chart-reading-with-jeanne-friscia/
Patrick Watson Astrology,Professional astrologer and rectification specialist,https://patrickwatsonastrology.com/services/rectification/,High - direct rectification service and audience,,,Default App Store + Google Play,Ask for feedback or possible resource mention; do not imply replacement of pro work,https://patrickwatsonastrology.com/services/rectification/
Leisa Schaim,Professional astrologer and rectification specialist,https://www.leisaschaim.com/contact,High - offers chart rectification and appeared on rectification podcast,,,Default App Store + Google Play,Ask for practitioner feedback; keep estimate/non-guarantee language,https://www.leisaschaim.com/consultations
Kelly Surtees Astrology,Astrology educator and newsletter,https://www.kellysastrology.com/contact/,Medium - strong learning audience and chart skills focus,,,Default App Store + Google Play,Pitch for newsletter/resource consideration after personal intro,https://www.kellysastrology.com/meet-kelly/
Jessica Lanyadoo / Ghost of a Podcast,Podcast and astrology advice,https://www.lovelanyadoo.com/contact,Medium - large advice audience; not specifically rectification-first,,,Default App Store + Google Play,Use media/general inquiry; pitch only if tailored to listener question format,https://www.lovelanyadoo.com/ghost-of-a-podcast
Astrology University,Astrology education platform,https://www.astrologyuniversity.com/contact/,Medium - structured astrology students and teachers,,,Default App Store + Google Play,Pitch as student practice resource for birth-time uncertainty,https://www.astrologyuniversity.com/course-catalog/
Demetra George,Astrology teacher and author,https://demetra-george.com/,Medium - advanced astrology education audience,,,Default App Store + Google Play,Use respectful feedback/resource framing; not mass pitch,https://demetra-george.com/learn/about-classes/
Austin Coppock,Astrologer and teacher,https://austincoppock.com/about-austin-coppock/,Medium - advanced astrology audience and writer,,,Default App Store + Google Play,Find best current contact path before outreach,https://austincoppock.com/about-austin-coppock/
Forrest Astrology / Steven Forrest,Astrology school and author,https://www.forrestastrology.com/pages/contact,Medium - astrology education and newsletter audience,,,Default App Store + Google Play,Pitch as unknown birth time app for students; avoid deterministic claims,https://www.forrestastrology.com/pages/contact
The Astrological Association,Astrology organization,https://www.astrologicalassociation.com/chart-calculator/,Medium - chart calculator and association audience,,,Default App Store + Google Play,Find appropriate office/contact before sending resource note,https://www.astrologicalassociation.com/chart-calculator/
VedicDream Birth-Time Rectification,Rectification tool/site,https://www.vedicdream.com/home/birth-time-rectification,Medium - direct birth-time rectification intent; possible competitor/partner,,,Default App Store + Google Play,Use only for market intel or careful partnership outreach,https://www.vedicdream.com/home/birth-time-rectification
